hidden_layers,learning_rate,weight_decay,batch_size,mean_auc,std_auc,median_best_epoch
"[256, 128, 32]",0.00459,0.000213,16,0.6268449197860964,0.12501559855775315,6
[256],0.00127,0.0036,16,0.605975935828877,0.10837534088262148,8
"[64, 64, 16]",0.00878,0.00192,16,0.5885828877005348,0.11663523323428718,8
"[64, 16, 16]",0.000115,4.28e-05,32,0.5885427807486631,0.11152981819876957,5
"[128, 64, 64]",0.00507,0.00049,8,0.5789304812834224,0.13196567336214193,7
[32],0.000122,0.0044,8,0.5664839572192514,0.17219710370621127,5
"[256, 256, 16]",0.00235,0.000487,16,0.5648061497326203,0.10356334678877752,7
[64],0.000216,0.00397,16,0.5493048128342247,0.12713638047798145,6
"[256, 64]",0.000107,3.75e-05,8,0.5473395721925134,0.0714420602921081,6
"[256, 256]",0.00317,0.000975,16,0.5447860962566844,0.13582117909467903,6
"[256, 256]",0.00113,5.66e-05,16,0.544331550802139,0.10762030424818023,9
[256],0.000236,0.00964,32,0.5418850267379679,0.09886491992239126,8
[128],0.000536,8.09e-05,8,0.53798128342246,0.10046620660966933,10
[256],0.00456,6.81e-05,8,0.5369385026737967,0.06681021157738036,7
"[32, 16]",0.00194,0.000104,8,0.5349732620320855,0.12282806668008919,7
"[256, 64, 64]",0.00383,0.00622,32,0.5341711229946524,0.08384823813434526,7
"[32, 16]",0.00318,2.77e-05,32,0.5334491978609626,0.11290628955489118,5
"[256, 256]",0.00114,0.00464,8,0.5293716577540107,0.14084187797692582,9
[64],0.00052,0.00131,32,0.5280481283422459,0.09278385006143486,5
[32],0.00669,0.00266,8,0.5266443850267379,0.10562791415336872,7
"[32, 16]",0.000725,0.000144,16,0.5235695187165775,0.09127398556053139,5
"[256, 32, 16]",0.00603,0.000695,16,0.518475935828877,0.07626407176344571,5
"[256, 256]",0.00137,0.000779,16,0.5169652406417111,0.0659008262978999,5
"[256, 256]",0.000285,0.00919,32,0.5145053475935828,0.10917347146406388,5
"[256, 128, 32]",0.000421,0.00202,16,0.5102540106951872,0.06804227751866118,5
"[64, 64, 16]",0.00437,8.06e-05,16,0.49193850267379674,0.12229562240115581,5
"[128, 128, 16]",0.00143,1.4e-05,32,0.4864572192513369,0.12627955082997314,5
"[256, 128, 32]",0.000799,0.000564,8,0.48069518716577536,0.09237811199983255,5
"[128, 16, 16]",0.00139,8.32e-05,32,0.4674732620320855,0.09391675071770841,5
"[256, 128, 32]",0.00221,3.6e-05,32,0.4467245989304812,0.025723485032802897,5
