hidden_layers,learning_rate,weight_decay,batch_size,mean_inner_auc,std_inner_auc,median_best_epoch
"[256, 128, 32]",0.00517,0.00549,32,0.7021214896214895,0.12777256923802058,10
"[32, 16]",0.00641,0.000355,8,0.6475732600732601,0.1701988459072639,6
[32],0.000563,3.8e-05,8,0.6311660561660561,0.11115489835456475,6
"[256, 64]",0.00646,2.61e-05,32,0.6246413308913309,0.21353298919886457,7
[32],0.00654,7.71e-05,8,0.6115918803418804,0.14247674897971965,5
"[128, 64, 32]",0.00177,8.44e-05,16,0.60740231990232,0.1786036758762854,6
"[128, 16]",0.000397,9.47e-05,16,0.6015873015873017,0.180557082768238,5
"[256, 64]",0.00283,0.000975,8,0.5972374847374848,0.17086849704213197,8
"[32, 16]",0.000395,0.00131,16,0.5934523809523811,0.20553666976180693,5
[256],0.00547,0.00266,32,0.5922466422466421,0.22205783780319452,7
"[64, 16]",0.000804,2.4e-05,16,0.5920940170940171,0.20254902779689685,6
[128],0.00167,1.17e-05,16,0.5917735042735043,0.18708024269733553,7
[128],0.000995,1.52e-05,32,0.5852869352869352,0.16004110595088394,6
[256],0.00021,2.24e-05,16,0.5843101343101342,0.17049017250716672,5
"[128, 64, 16]",0.00024,0.00547,16,0.5789377289377289,0.21584150253246753,5
"[64, 32, 16]",0.0014,0.00492,16,0.5776251526251526,0.16324983526251305,6
"[128, 128, 64]",0.000613,0.000121,8,0.5682539682539682,0.21567022694336588,5
[16],0.0087,0.000211,8,0.5660866910866911,0.19831162454467824,8
[32],0.00456,2.1e-05,8,0.5630494505494505,0.15249962786900206,6
[128],0.000987,0.000263,8,0.5569444444444444,0.10196668734982206,8
"[256, 128, 64]",0.000119,0.00127,8,0.5541666666666667,0.18379947294943683,5
[128],0.000171,0.00628,8,0.5533882783882784,0.19955159859886143,6
[64],0.0033,0.00127,32,0.5530982905982905,0.1773679645844682,8
[16],0.000781,2.11e-05,32,0.5388736263736265,0.2155200076450564,5
[128],0.00338,0.000382,8,0.5328907203907204,0.1845902948986862,7
[16],0.00159,0.000394,16,0.5260836385836385,0.18365617109470858,5
[16],0.00419,0.00033,16,0.5223214285714286,0.23876214613748672,7
"[64, 16]",0.000138,0.00141,8,0.5141941391941391,0.1451823950618098,5
"[256, 64]",0.00315,0.000632,32,0.5017246642246642,0.1687138312513143,6
"[64, 64, 64]",0.0013,0.00367,16,0.49496336996337,0.1940463684752965,5
