Name,Description,final_model_importance,mean_outer_fold_importance,outer_folds_used
ENSG00000185972.5,CCIN,0.004705294,0.0070866616,4
ENSG00000225131.2,PSME2P2,0.004334332,0.011249451,4
ENSG00000238000.1,RP11-274E7.2,0.0041693463,0.006050563,4
ENSG00000164684.13,ZNF704,0.004082891,0.0,0
ENSG00000162643.12,WDR63,0.0040466455,0.0017457132,3
ENSG00000128346.10,C22orf23,0.003964584,0.00064758834,2
ENSG00000249751.3,ECSCR,0.003963561,0.0,0
ENSG00000214193.10,SH3D21,0.003782051,0.0,0
ENSG00000213996.12,TM6SF2,0.0037340526,0.003906221,3
ENSG00000153814.11,JAZF1,0.0037027716,0.0,0
ENSG00000103313.12,MEFV,0.0036804494,0.0045034406,1
ENSG00000239998.5,LILRA2,0.00367002,0.0065804287,5
ENSG00000100911.15,PSME2,0.0036340947,0.0008748906,1
ENSG00000132746.14,ALDH3B2,0.003605586,0.004604695,1
ENSG00000237938.5,RP11-288I21.1,0.0035890923,0.0,0
ENSG00000185614.4,FAM212A,0.0035545556,0.0058441223,3
ENSG00000106823.12,ECM2,0.003553298,0.0,0
ENSG00000148481.13,MINDY3,0.003536377,0.0,0
ENSG00000090554.12,FLT3LG,0.003457719,0.0,0
ENSG00000225159.1,NPM1P39,0.0034543097,0.0010371921,2
ENSG00000152217.16,SETBP1,0.0034282713,0.005769004,1
ENSG00000182890.4,GLUD2,0.0033830402,0.0009792226,2
ENSG00000232608.1,TIMM9P2,0.0033528567,0.0,0
ENSG00000275143.1,SCARNA16,0.003344071,0.00027712213,1
ENSG00000139636.15,LMBR1L,0.003282866,0.00085464894,1
ENSG00000254535.3,PABPC4L,0.0032440799,0.0057654157,2
ENSG00000110921.13,MVK,0.0032410976,0.0,0
ENSG00000198380.12,GFPT1,0.0032341257,0.0010297608,1
ENSG00000140105.17,WARS,0.0032116747,0.00042444989,1
ENSG00000196507.10,TCEAL3,0.0032100326,0.0018451245,1
ENSG00000232888.4,RPS11P5,0.0031888695,0.00016981931,1
ENSG00000213755.3,RP11-342F17.1,0.003170321,0.0,0
ENSG00000161281.10,COX7A1,0.0031565411,7.990537e-05,1
ENSG00000058056.8,USP13,0.0031377382,8.094734e-05,1
ENSG00000187942.11,LDLRAD2,0.003127282,0.0,0
ENSG00000225178.5,RPSAP58,0.0031132419,0.0,0
ENSG00000153147.5,SMARCA5,0.0031046146,0.0,0
ENSG00000241852.9,C8orf58,0.0031002543,0.006168795,2
ENSG00000172469.15,MANEA,0.0030907074,0.00022593998,1
ENSG00000101463.5,SYNDIG1,0.0030611495,0.004844908,3
ENSG00000214182.5,PTMAP5,0.0030310317,0.0,0
ENSG00000115204.14,MPV17,0.0030307458,0.0,0
ENSG00000138755.5,CXCL9,0.0030247231,0.003039422,4
ENSG00000160868.14,CYP3A4,0.0030206328,0.0003749673,1
ENSG00000121897.14,LIAS,0.003017579,0.0025430208,3
ENSG00000249741.2,RP11-673E1.3,0.0030084234,0.0033899334,1
ENSG00000243811.8,APOBEC3D,0.0029836264,0.0,0
ENSG00000171357.5,LURAP1,0.002977716,0.0,0
ENSG00000115415.18,STAT1,0.0029757426,0.0,0
ENSG00000054148.17,PHPT1,0.0029536434,0.0014847326,2
ENSG00000249532.5,RP11-148B6.1,0.0029356761,0.0005778818,1
ENSG00000157005.3,SST,0.0029275003,0.0,0
ENSG00000187257.15,RSBN1L,0.0029261706,0.0,0
ENSG00000274420.1,uc_338,0.0029200546,0.0,0
ENSG00000189369.8,GSPT2,0.0029189656,0.0,0
ENSG00000164823.9,OSGIN2,0.0029150164,0.001751845,2
ENSG00000140459.17,CYP11A1,0.0029037185,0.00040958534,1
ENSG00000138738.10,PRDM5,0.0028934702,0.0,0
ENSG00000163629.12,PTPN13,0.0028907254,0.0017357485,1
ENSG00000167210.16,LOXHD1,0.0028840653,0.00089545234,1
ENSG00000249936.3,RAC1P2,0.0028697816,0.0011379366,1
ENSG00000183111.11,ARHGEF37,0.0028555756,0.0,0
ENSG00000189184.11,PCDH18,0.0028222324,0.0,0
ENSG00000231043.3,AC007238.1,0.0027934965,0.00044510327,1
ENSG00000234222.6,LIX1L-AS1,0.002775792,0.0,0
ENSG00000232059.3,RP11-173A6.2,0.002760357,0.0019523663,2
ENSG00000223509.8,RP11-632K20.7,0.002759159,0.0,0
ENSG00000064995.16,TAF11,0.0027471967,0.0,0
ENSG00000150045.11,KLRF1,0.0027466519,0.0001241228,1
ENSG00000167554.14,ZNF610,0.0027192703,0.001025391,1
ENSG00000089127.12,OAS1,0.0027086881,0.0031910022,3
ENSG00000280137.1,RP11-297C4.6,0.0026954485,0.0,0
ENSG00000166037.10,CEP57,0.0026944743,0.00047098388,1
ENSG00000137970.7,RPL7P9,0.0026828966,0.00054326403,1
ENSG00000252906.1,SCARNA3,0.002673546,0.0005909346,2
ENSG00000168894.9,RNF181,0.0026709796,0.0,0
ENSG00000124733.3,MEA1,0.00265178,0.0,0
ENSG00000104320.13,NBN,0.0026480264,0.0,0
ENSG00000229944.3,EIF4EP2,0.0026430862,0.0009879194,2
ENSG00000131067.16,GGT7,0.0026422984,0.0,0
ENSG00000204850.4,CTB-158D10.3,0.002635508,0.0009851672,2
ENSG00000228274.3,RP3-508I15.9,0.0026299495,0.0,0
ENSG00000284567.1,MIR223,0.002627983,0.0,0
ENSG00000243970.1,PPIEL,0.0026264426,0.0,0
ENSG00000113805.8,CNTN3,0.0026069828,0.0026879853,2
ENSG00000140488.15,CELF6,0.0025818022,0.00023592488,1
ENSG00000156304.14,SCAF4,0.0025649706,0.0,0
ENSG00000117519.15,CNN3,0.0025634991,0.0,0
ENSG00000174032.16,SLC25A30,0.002557538,0.0,0
ENSG00000108666.9,C17orf75,0.0025562823,0.0,0
ENSG00000122643.18,NT5C3A,0.0025368663,0.0,0
ENSG00000175832.12,ETV4,0.002528945,0.0005321092,2
ENSG00000138182.14,KIF20B,0.0025287995,0.0,0
ENSG00000177839.6,PCDHB9,0.0024644474,0.0,0
ENSG00000161681.15,SHANK1,0.0024588227,0.0,0
ENSG00000258034.1,RP11-493P1.2,0.0024477246,0.0,0
ENSG00000249835.2,VCAN-AS1,0.0024296935,0.0013098356,2
ENSG00000168438.14,CDC40,0.0024230853,0.00012947942,1
ENSG00000137648.17,TMPRSS4,0.002415765,0.0,0
ENSG00000232385.2,RPS3AP25,0.0024095224,5.4323602e-05,1
ENSG00000259151.2,CAP2P1,0.0023991151,0.0,0
ENSG00000204428.12,LY6G5C,0.0023961565,0.0,0
ENSG00000132196.13,HSD17B7,0.0023941742,0.0,0
ENSG00000137601.16,NEK1,0.0023924615,0.0,0
ENSG00000147168.12,IL2RG,0.0023885379,0.0040032943,3
ENSG00000143842.14,SOX13,0.0023858852,0.0,0
ENSG00000008517.16,IL32,0.002378207,0.00043532322,2
ENSG00000267169.1,CTB-55O6.12,0.0023474647,0.0,0
