n_estimators,max_depth,learning_rate,gamma,subsample,colsample_bytree,min_child_weight,reg_lambda,scale_pos_weight,mean_auc,std_auc
100,4,0.0102,0.1,1.0,0.1,1,10,1.615,0.6319919786096256,0.1206878279288128
100,2,0.0121,0.0,0.8,0.1,3,1,1.0,0.6069385026737969,0.10497113458497298
300,2,0.0353,0.0,0.8,0.1,3,10,2.0,0.5990106951871658,0.11925446927614343
100,2,0.0472,0.1,1.0,0.5,5,5,1.615,0.5967647058823531,0.13839515110760134
100,2,0.0206,0.1,0.8,0.3,1,5,1.5,0.5959491978609626,0.1155912728865182
200,3,0.0134,0.1,0.8,0.05,3,10,1.5,0.5902807486631017,0.14508510522847656
300,2,0.0118,0.1,0.8,0.5,5,1,1.0,0.5902139037433155,0.11786950287875572
100,5,0.0114,0.1,1.0,0.05,5,1,1.0,0.5889438502673797,0.11290306416300151
500,3,0.0153,0.0,1.0,0.1,3,5,1.0,0.5878609625668448,0.11876679094156957
100,3,0.0156,0.0,1.0,0.05,1,5,2.0,0.5861229946524065,0.13691133325815658
500,4,0.0173,0.0,0.8,0.3,5,1,1.5,0.585855614973262,0.09935630642784535
200,2,0.0456,0.1,0.8,0.5,5,5,2.0,0.5852807486631015,0.10496279123900258
500,4,0.0124,0.0,1.0,0.1,3,5,1.615,0.5844919786096258,0.13561237956999475
200,4,0.0145,0.1,1.0,0.05,3,10,1.5,0.5827005347593583,0.13887278146690366
500,3,0.0146,0.0,0.8,0.05,5,10,1.615,0.582620320855615,0.11948581298268102
200,4,0.0327,0.0,0.8,0.05,5,5,1.615,0.5814839572192513,0.11695586104245821
200,5,0.0689,0.0,0.8,0.3,5,10,2.0,0.5806818181818182,0.08667899596435161
500,4,0.0442,0.0,0.8,0.1,3,1,1.615,0.5795454545454545,0.13360378246263818
300,5,0.0279,0.1,0.8,0.5,1,1,1.5,0.5788101604278075,0.12264731311667113
200,4,0.0213,0.0,0.8,0.3,1,5,1.5,0.5782219251336899,0.13571705324205754
500,2,0.0263,0.0,1.0,0.1,1,10,1.615,0.5781016042780749,0.09647036961806928
200,5,0.0434,0.0,1.0,0.1,1,10,1.615,0.5760026737967914,0.1407370060280459
100,3,0.0826,0.0,0.8,0.05,3,10,1.0,0.5742245989304813,0.11323357365681862
300,2,0.0818,0.0,1.0,0.3,5,5,2.0,0.5740508021390374,0.07799528143817883
200,5,0.0638,0.1,1.0,0.3,5,10,1.0,0.573783422459893,0.08626942780604649
200,4,0.0259,0.0,0.8,0.05,3,1,2.0,0.5732219251336899,0.12045450465020345
300,2,0.0895,0.1,1.0,0.3,1,5,1.5,0.5729411764705883,0.09127607588016708
500,4,0.0321,0.1,1.0,0.1,5,5,1.615,0.5716042780748662,0.08060120402801747
100,3,0.0919,0.0,0.8,0.05,5,10,2.0,0.5693181818181818,0.1089926658984525
500,3,0.0454,0.0,0.8,0.3,5,5,1.615,0.5687700534759358,0.08944607611236886
500,5,0.0302,0.1,1.0,0.5,5,5,1.615,0.5683957219251338,0.10408222386845171
500,4,0.0195,0.1,0.8,0.05,5,5,2.0,0.5679411764705883,0.12193101179657403
200,4,0.03,0.0,0.8,0.5,3,1,2.0,0.5656951871657754,0.12581654432291334
200,5,0.0757,0.0,1.0,0.05,5,5,2.0,0.5624465240641711,0.08458289484271785
300,3,0.067,0.1,1.0,0.05,3,5,2.0,0.5617112299465241,0.09816483606468515
300,3,0.0947,0.1,1.0,0.5,5,5,1.0,0.5599999999999999,0.09280917747817666
200,3,0.0848,0.1,1.0,0.05,3,10,2.0,0.5599331550802139,0.07159530287050696
300,4,0.0562,0.1,0.8,0.5,3,5,1.615,0.5594518716577539,0.1072357070933198
500,5,0.0458,0.0,0.8,0.05,3,1,1.0,0.5573529411764706,0.10963879209303355
500,3,0.0509,0.0,1.0,0.3,1,5,1.0,0.5570053475935828,0.07305251276763107
500,2,0.0193,0.0,1.0,0.5,3,1,1.5,0.5568449197860963,0.11002236818893549
100,2,0.0975,0.0,1.0,0.5,3,1,2.0,0.5558155080213905,0.10308295067375979
300,5,0.0535,0.0,0.8,0.05,5,1,1.615,0.5524064171122994,0.1297527218358651
500,5,0.0334,0.1,0.8,0.05,1,1,1.615,0.5508823529411765,0.12340895984055114
300,2,0.0176,0.0,1.0,0.1,1,1,1.615,0.5507754010695187,0.1327886874377972
500,4,0.034,0.1,1.0,0.3,1,1,2.0,0.5481149732620321,0.09207863316058047
100,5,0.0152,0.1,1.0,0.3,3,1,1.0,0.5480748663101604,0.14633345656858518
300,3,0.046,0.1,1.0,0.3,1,1,1.615,0.5465508021390374,0.09494616263783974
200,2,0.0698,0.1,1.0,0.3,1,10,1.615,0.5386764705882353,0.06639964663315247
500,2,0.0581,0.0,0.8,0.5,1,1,2.0,0.5324197860962567,0.1148514192403817
