n_estimators,max_depth,learning_rate,gamma,subsample,colsample_bytree,min_child_weight,reg_lambda,scale_pos_weight,mean_inner_auc,std_inner_auc
200,4,0.046,0.0,1.0,0.3,1,5,2.0,0.6903235653235653,0.10086001129876239
100,4,0.0117,0.0,1.0,0.3,1,10,1.615,0.6662698412698413,0.13643571866011125
300,3,0.018,0.1,1.0,0.3,3,5,2.0,0.6521978021978022,0.12170225020014931
500,3,0.0572,0.0,0.8,0.5,1,5,2.0,0.6483821733821734,0.09266425011750012
200,3,0.0104,0.1,1.0,0.3,3,10,2.0,0.6445512820512821,0.1478714090191475
300,5,0.0453,0.1,0.8,0.5,3,5,2.0,0.6429639804639804,0.0949815951704025
300,5,0.0516,0.0,1.0,0.3,3,5,1.0,0.6416666666666667,0.10545700332000651
300,3,0.068,0.0,1.0,0.5,5,5,1.0,0.6387515262515262,0.12744739904346747
500,5,0.0494,0.0,0.8,0.5,3,5,2.0,0.6382936507936507,0.11245683385594238
500,5,0.0419,0.0,1.0,0.1,5,5,1.5,0.6372405372405372,0.08578383225748458
300,4,0.0456,0.1,1.0,0.3,5,5,2.0,0.6366758241758241,0.13103380463825395
200,3,0.0191,0.0,1.0,0.1,1,10,1.5,0.6348137973137973,0.06981803366604371
300,5,0.0857,0.0,0.8,0.3,1,10,2.0,0.6346611721611721,0.10868520600067
300,4,0.0589,0.1,1.0,0.1,5,5,1.0,0.6344474969474969,0.10528564368224264
100,5,0.0834,0.1,1.0,0.3,5,10,1.0,0.6306013431013431,0.08021910362521154
300,4,0.0816,0.1,0.8,0.05,5,1,2.0,0.6289529914529914,0.07644247186663668
200,3,0.0134,0.0,0.8,0.5,5,5,2.0,0.6267704517704518,0.10861376795990813
300,2,0.0384,0.0,1.0,0.3,5,1,1.5,0.6252747252747252,0.1227346887108339
200,5,0.0143,0.1,0.8,0.3,3,5,1.615,0.6217032967032967,0.11994126058039732
300,3,0.0477,0.1,0.8,0.1,3,10,2.0,0.6213522588522589,0.10002466110927048
500,3,0.058,0.1,0.8,0.5,1,10,1.0,0.6209249084249084,0.08762730267490768
500,5,0.0119,0.0,0.8,0.3,3,1,1.5,0.6203907203907204,0.08982043073593247
500,2,0.013,0.0,1.0,0.05,1,10,1.5,0.6193223443223443,0.05260224833478392
300,4,0.0278,0.0,0.8,0.3,5,1,1.615,0.6192765567765568,0.09061307880979104
300,4,0.0137,0.0,0.8,0.5,1,1,1.0,0.6179181929181928,0.10892092439835441
500,2,0.025,0.0,0.8,0.3,3,10,1.5,0.6156440781440782,0.09191854726956161
100,4,0.019,0.1,1.0,0.5,3,1,1.0,0.6143467643467643,0.17204045888863279
500,5,0.0436,0.0,0.8,0.3,5,1,1.5,0.6139346764346765,0.09428526122193982
500,5,0.0528,0.0,0.8,0.05,5,1,1.615,0.6136599511599512,0.0976176504541577
200,3,0.0343,0.0,0.8,0.3,3,1,1.0,0.612087912087912,0.0989707096295136
200,3,0.049,0.0,1.0,0.05,1,1,1.0,0.6102258852258853,0.04740656154972813
300,5,0.0501,0.0,1.0,0.05,1,10,1.5,0.6068376068376068,0.062480452910467915
300,4,0.0388,0.0,0.8,0.05,5,10,1.615,0.6057692307692308,0.11877996733210335
500,4,0.0115,0.1,0.8,0.5,5,5,1.0,0.603556166056166,0.10518068573067146
300,4,0.0961,0.1,0.8,0.1,1,5,1.0,0.6013125763125762,0.09805626508438865
200,4,0.0235,0.1,0.8,0.05,3,1,1.0,0.6006257631257632,0.12300578438257391
100,2,0.0503,0.0,0.8,0.1,5,10,1.615,0.6002594627594627,0.07589001599049246
300,3,0.011,0.0,0.8,0.05,1,10,1.0,0.6000763125763126,0.06484790210751484
100,5,0.0176,0.0,1.0,0.5,3,1,2.0,0.5994200244200244,0.22784689628886473
100,3,0.0132,0.1,1.0,0.5,5,10,2.0,0.5940476190476189,0.16103319394476895
300,3,0.024,0.0,0.8,0.1,5,10,1.0,0.5937576312576314,0.09184134700603748
100,5,0.0578,0.0,0.8,0.1,5,10,2.0,0.5933760683760685,0.07172443629662596
500,4,0.0508,0.1,0.8,0.1,5,10,1.615,0.5918345543345543,0.08979956728738549
100,4,0.0834,0.1,1.0,0.05,3,1,1.0,0.5915750915750916,0.05803221463897567
300,3,0.0109,0.0,0.8,0.05,5,5,2.0,0.5888125763125763,0.10262217793506678
500,3,0.0845,0.0,0.8,0.5,3,1,1.5,0.5825091575091574,0.12423965623975795
200,5,0.0132,0.0,0.8,0.05,5,1,2.0,0.5779761904761905,0.11272894702778907
200,4,0.0218,0.0,0.8,0.1,1,10,1.5,0.5640873015873015,0.0754641944426347
200,5,0.0221,0.0,0.8,0.05,3,10,1.5,0.5626373626373626,0.08958819220447461
200,4,0.0363,0.1,0.8,0.1,1,10,1.0,0.5603785103785104,0.07536880930525293
